Punkt	X [m]	Y [m]	Z [m]	H_calc [A/m]	dBm_mess	H_mess [A/m]	Faktor
A	2.0	0.0	0.0	0.1906	-1.9	0.2165	1.14
B	3.0	1.0	0.0	0.0542	-14.9	0.0485	0.89
C	3.0	0.0	0.0	0.0650	-11.6	0.0709	1.09
D	3.0	-1.0	0.0	0.0542	-12.7	0.0625	1.15
E	3.0	-2.0	0.0	0.0351	-15.8	0.0437	1.25
F	3.0	-3.0	0.0	0.0212	-15.9	0.0432	2.04
G	5.0	1.0	0.0	0.0177	-26.0	0.0135	0.76
H	6.0	1.0	0.0	0.0119	-29.0	0.0096	0.80
I	7.0	1.0	0.0	0.0086	-30.0	0.0085	0.99
K	-11.0	0.0	0.0	0.0034	-33.4	0.0058	1.72
L	-3.0	-38.0	0.0	0.0015	-41.3	0.0023	1.55
M	0.0	0.0	3.0	0.0222	-23.5	0.0180	0.81
N	0.0	0.0	-5.7	0.0088	-32.6	0.0063	0.72
O	5.5	0.0	-5.7	0.0067	-35.4	0.0046	0.68
